date,product_id,sku,transaction_type,quantity_change,stock_level_after,optimal_stock_level,days_of_supply,inventory_value,supplier,cost_per_unit,lost_sales,stockout_reason
2025-08-25,1,HEA00001,daily_snapshot,-1,78,42.0,66.74626865671641,1703.52,,,,
2025-08-26,1,HEA00001,daily_snapshot,0,78,42.0,66.74626865671641,1703.52,,,,
2025-08-27,1,HEA00001,daily_snapshot,0,78,42.0,66.74626865671641,1703.52,,,,
2025-08-28,1,HEA00001,daily_snapshot,0,78,42.0,66.74626865671641,1703.52,,,,
2025-08-29,1,HEA00001,daily_snapshot,-2,76,42.0,65.03482587064676,1659.84,,,,
2025-08-30,1,HEA00001,daily_snapshot,-11,65,42.0,55.621890547263675,1419.6,,,,
2025-08-31,1,HEA00001,daily_snapshot,-2,63,42.0,53.91044776119403,1375.92,,,,
2025-09-01,1,HEA00001,daily_snapshot,0,63,42.0,53.91044776119403,1375.92,,,,
2025-09-02,1,HEA00001,daily_snapshot,0,63,42.0,53.91044776119403,1375.92,,,,
2025-09-03,1,HEA00001,daily_snapshot,0,63,42.0,53.91044776119403,1375.92,,,,
2025-09-04,1,HEA00001,daily_snapshot,-4,59,42.0,50.48756218905472,1288.56,,,,
2025-09-05,1,HEA00001,daily_snapshot,-2,57,42.0,48.776119402985074,1244.8799999999999,,,,
2025-09-06,1,HEA00001,daily_snapshot,0,57,42.0,48.776119402985074,1244.8799999999999,,,,
2025-09-07,1,HEA00001,daily_snapshot,0,57,42.0,48.776119402985074,1244.8799999999999,,,,
2025-09-08,1,HEA00001,daily_snapshot,-1,56,42.0,47.92039800995025,1223.04,,,,
2025-09-09,1,HEA00001,daily_snapshot,0,56,42.0,47.92039800995025,1223.04,,,,
2025-09-10,1,HEA00001,daily_snapshot,-3,53,42.0,45.35323383084577,1157.52,,,,
2025-09-11,1,HEA00001,daily_snapshot,0,53,42.0,45.35323383084577,1157.52,,,,
2025-09-12,1,HEA00001,daily_snapshot,-2,51,42.0,43.64179104477611,1113.84,,,,
2025-09-13,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-14,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-15,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-16,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-17,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-18,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-19,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-20,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-21,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-22,1,HEA00001,daily_snapshot,0,51,42.0,43.64179104477611,1113.84,,,,
2025-09-23,1,HEA00001,daily_snapshot,-12,39,42.0,33.373134328358205,851.76,,,,
2025-09-24,1,HEA00001,daily_snapshot,0,39,42.0,33.373134328358205,851.76,,,,
2025-09-25,1,HEA00001,daily_snapshot,0,39,42.0,33.373134328358205,851.76,,,,
2025-09-26,1,HEA00001,daily_snapshot,0,39,42.0,33.373134328358205,851.76,,,,
2025-09-27,1,HEA00001,daily_snapshot,0,39,42.0,33.373134328358205,851.76,,,,
2025-09-28,1,HEA00001,daily_snapshot,0,39,42.0,33.373134328358205,851.76,,,,
2025-09-29,1,HEA00001,daily_snapshot,-4,35,42.0,29.950248756218905,764.4,,,,
2025-09-30,1,HEA00001,daily_snapshot,0,35,42.0,29.950248756218905,764.4,,,,
2025-10-01,1,HEA00001,daily_snapshot,-1,34,42.0,29.094527363184078,742.56,,,,
2025-10-02,1,HEA00001,daily_snapshot,-1,33,42.0,28.23880597014925,720.72,,,,
